Wind Average ( MPH ),AC Output Total Power (Active)(W)
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,7.2924
11.0,8.736060606060605
12.0,34.00310344827586
13.0,52.24848484848484
14.0,36.59466666666667
15.0,81.71933333333332
16.0,160.48529411764704
17.0,135.2711111111111
18.0,204.48894736842107
19.0,261.53130434782605
20.0,188.61941176470586
21.0,243.0446428571429
22.0,317.8763636363636
23.0,263.1309677419355
24.0,383.96944444444443
25.0,258.46625000000006
26.0,125.48333333333333
27.0,263.8583333333333
28.0,344.815
29.0,623.31
30.0,253.07
31.0,482.23
32.0,1082.25
33.0,336.52
34.0,1090.18
