Wind Average ( MPH ),AC Output Total Power (Active)(W)
3,0
4,0
5,0
6,0
7,2.245625
8,8.280454545
9,15.61648649
10,35.37478261
11,23.72692308
12,43.49285714
13,101.456
14,105.4703846
15,120.794
16,132.2312121
17,166.6311111
18,222.3557143
19,256.82325
20,240.0844928
21,329.6125641
22,331.8571014
23,420.1160759
24,455.5993407
25,490.6928333
26,480.6813793
27,590.42225
28,563.396
29,504.9494118
30,640.96
31,600.6892308
32,877.8842105
33,722.4778571
34,740.24
35,547.2044444
36,1337.61
38,1184.6
39,2289.1
40,758.2425
41,728.8233333
42,482.62
43,1305.72
44,887.01
46,2282.13
