Wind Average ( MPH ),AC Output Total Power (Active)(W)
0,43.455
1,11.65181818
2,15.38428571
3,0
4,0
5,0
6,1.341323529
7,0
8,3.979617834
9,6.366574074
10,7.37021978
11,16.75
12,33.02858586
13,41.21480392
14,55.66153846
15,109.3897143
16,107.9214433
17,181.0151807
18,192.0565517
19,227.5878261
20,219.8456863
21,196.6633333
22,296.7375
23,299.7496552
24,320.1525
25,297.6705263
26,581.01
27,444.8577778
28,347.465
29,467.1809524
30,705.9061538
31,883.195
32,917.712
33,867.8955556
34,1001.91
35,977.92
36,1179.97
38,1775.96
39,390.975
40,1487.4575
